[Sommets] :
1  , V4  , 365  , 110  , VERT      , 4    
2  , V8  , 268  , 113  , VERT      , 8    
3  , V3  , 429  , 188  , VERT      , 3    
4  , V2  , 344  , 197  , VERT      , 2    
5  , V6  , 277  , 247  , VERT      , 6    
6  , ROME, 532  , 423  , ROME      , -1   
7  , B6  , 365  , 291  , BLEU_CLAIR, 6    
8  , B8  , 448  , 280  , BLEU_CLAIR, 8    
9  , B3  , 337  , 389  , BLEU_CLAIR, 3    
10 , B4  , 407  , 374  , BLEU_CLAIR, 4    
11 , B2  , 477  , 366  , BLEU_CLAIR, 2    
12 , G0  , 621  , 436  , GRIS      , 0    
13 , G4  , 618  , 340  , GRIS      , 4    
14 , G2  , 554  , 305  , GRIS      , 2    
15 , G1  , 636  , 608  , GRIS      , 1    
16 , G3  , 652  , 515  , GRIS      , 3    
17 , J1  , 750  , 441  , JAUNE     , 1    
18 , J4  , 839  , 441  , JAUNE     , 4    
19 , J5  , 751  , 577  , JAUNE     , 5    
20 , J3  , 737  , 360  , JAUNE     , 3    
21 , J2  , 838  , 575  , JAUNE     , 2    
22 , M1  , 540  , 521  , MARRON    , 1    
23 , M4  , 462  , 543  , MARRON    , 4    
24 , M2  , 414  , 458  , MARRON    , 2    
25 , M3  , 358  , 541  , MARRON    , 3    
26 , M5  , 254  , 541  , MARRON    , 5    
27 , R1  , 279  , 330  , ROUGE     , 1    
28 , R2  , 208  , 451  , ROUGE     , 2    
29 , R4  , 125  , 457  , ROUGE     , 4    
30 , R3  , 204  , 331  , ROUGE     , 3    
31 , R5  , 116  , 331  , ROUGE     , 5    
---------------------------------
[Arrêtes] :
1   , 2   , 1    
3   , 1   , 1    
4   , 5   , 1    
4   , 2   , 1    
4   , 3   , 1    
1   , 4   , 1    
5   , 31  , 2    
30  , 31  , 1    
30  , 27  , 1    
7   , 27  , 1    
7   , 5   , 1    
30  , 5   , 1    
7   , 4   , 1    
8   , 3   , 1    
8   , 7   , 1    
8   , 10  , 1    
9   , 10  , 1    
9   , 27  , 1    
9   , 7   , 1    
10  , 11  , 1    
31  , 29  , 2    
28  , 29  , 1    
28  , 27  , 2    
28  , 26  , 1    
25  , 26  , 1    
25  , 23  , 2    
22  , 23  , 1    
22  , 15  , 2    
19  , 15  , 2    
19  , 21  , 1    
18  , 21  , 2    
17  , 19  , 2    
16  , 15  , 1    
17  , 18  , 1    
20  , 18  , 2    
20  , 13  , 2    
14  , 13  , 1    
14  , 11  , 1    
8   , 11  , 1    
24  , 25  , 2    
24  , 9   , 1    
12  , 13  , 1    
12  , 17  , 2    
16  , 17  , 2    
16  , 12  , 1    
6   , 12  , 2    
6   , 11  , 1    
6   , 24  , 1    
6   , 22  , 1    

